65 STREET,10 AVENUE,424.0
3 AVENUE,29 STREET,281.0
BROADWAY,DUANE STREET,444.0
3 AVE,EAST 99 ST,281.0
LINDEN BLVD,198 STREET,869.0
EAST HOUSTON STREET,BROADWAY,125.0
10 AVENUE,WEST 45 STREET,869.0
AVENUE OF THE AMERICAS,WEST 45 STREET,326.0
COLUMBIA STREET,DE GRAW STREET,424.0
4 AVENUE,68 STREET,326.0
SHERIDANA AVENUE,EAST 161 STREET,444.0
VERMONT PLACE,HIGHLAND BOULEVARD,204.0
2 AVENUE,EAST 27 STREET,125.0
CATON AVE,E 18th ST,869.0
EAST 204 STREET,GRAND CONCOURSE,444.0
LAFAYETTE AVE,CLASSON AVE,218.0
3 AVENUE,BALTIC STREET,218.0
CENTRAL PARK WEST,WEST 61 STREET,444.0
7 AVENUE,LINCOLN PLACE,125.0
GRAND CONCOURSE_SERV,EAST 172 STREET,326.0
CENTRAL PARK WEST,WEST 74 STREET,204.0
FAIRMONT PL,MARMION AVENUE,204.0
35 AVE,200 STREET,204.0
RICHMOND ROAD,BALTIC AVENUE,424.0
HOMELAWN STREET,84 AVE,444.0
PARK AVE,58th ST,204.0
BROADWAY,EAST 11 STREET,444.0
UNDERCLIFF AVENUE,SEDGWICK AVENUE,281.0
BROADWAY,GRANITE STREET,869.0
AVENUE M,EAST 45 STREET,869.0
ARCHER AVE,143 STREET,204.0
FRANCIS LEWIS BLVD,115 DRIVE,218.0
TRINITY PL,EDGER ST,444.0
ASH ST,COMMERCIAL ST,125.0
CORTLANDT ALLEY,WALKER STREET,326.0
EDWARD L GRANT HIGHWAY,NELSON AVENUE,444.0
AUDUBON AVE,WEST 166 ST,125.0
7 AVE,WEST 117 ST,281.0
5 AVENUE,BROADWAY,869.0
101 AVE,146 STREET,281.0
EAST 135 STREET,CANAL STREET WEST,125.0
GLENWOOD ROAD,EAST 59 STREET,125.0
11 AVENUE,WEST 43 STREET,444.0
NOSTRAND AVENUE,FARRAGUT ROAD,218.0
LINDEN BLVD,198 STREET,424.0
ROCKAWAY BLVD,OLD ROCKAWAY BLVD,281.0
FLATLANDS AVENUE,EAST 78 STREET,326.0
FINGERBOARD ROAD,CLEVELAND PLACE,424.0
3 AVENUE,DEAN STREET,218.0
SOUTHERN BOULEVARD,ALDUS STREET,326.0
NOSTRAND AVE,AVE P,869.0
CATON AVE,E 12th ST,125.0
CHAMBERS STREET,BROADWAY,869.0
AMSTERDAM AVE,WEST 171 ST,424.0
